"last_name, first_name",team
"Rortvedt, Ben",New York
"Albies, Ozzie",Atlanta
"Diaz, Yainer",Houston
"Lowe, Nathaniel",Texas
"Tovar, Ezequiel",Colorado
"De La Cruz, Elly",Cincinnati
"Freeman, Tyler",(Team
"McCray, Grant",San Francisco
"Meadows, Parker",Detroit
"Lamb, Jake",Free
"Tucker, Kyle",Houston
"Pages, Andy",Los Angeles
"Murphy, Sean",Atlanta
"Loftin, Nick",Kansas City
"Soderstrom, Tyler",Oakland
"Benintendi, Andrew",Chicago
"Cave, Jake",Philadelphia
"Williams, Alika",Pittsburgh
"Camargo, Johan",San Francisco
"Reynolds, Bryan",Pittsburgh
"Narváez, Carlos",New York
"Mendick, Danny",New York
"Heyward, Jason",Los Angeles
"Peraza, Oswald",New York
"Iglesias, Jose",Free
"McLain, Matt",Cincinnati
"Rosario, Amed",Tampa Bay
"Gorski, Matt",Pittsburgh
"Hamilton, David",Boston
"Volpe, Anthony",New York
"Kjerstad, Heston",Baltimore
"Lindor, Francisco",New York
"Walker, Jordan",St.Louis
"Saggese, Thomas",Texas
"Schuemann, Max",Oakland
"Caballero, José",Seattle
"Kennedy, Buddy",Oakland
"Butler, Lawrence",Oakland
"Rengifo, Luis",(Team
"Trammell, Taylor",Seattle
"Palacios, Richie",St.Louis
"Witt Jr., Bobby",Kansas City
"Schneider, Davis",Toronto
"Siri, Jose",Tampa Bay
"Harper, Bryce",Philadelphia
"Kirilloff, Alex",Minnesota
"Rojas, Miguel",Los Angeles
"Encarnacion-Strand, Christian",Cincinnati
"Blackmon, Charlie",Colorado
"García, Adolis",Texas
"Wong, Connor",Boston
"Voit III, Luke",Free
"Osuna, Alejandro",Texas
"Harris II, Michael",Atlanta
"McCutchen, Andrew",Pittsburgh
"Taylor, Samad",Kansas City
"Crawford, Brandon",St.Louis
"Wall, Forrest",Atlanta
"Solano, Donovan",Minnesota
"Almonte, Abraham",Free
"Tatis Jr., Fernando",San Diego
"Benson, Will",Louisville
"Martini, Nick",Free
"Davis, Henry",Indianapolis
"Hernández, Enrique",Los Angeles
"Carter, Evan",Texas
"Brosseau, Mike",El
"Del Castillo, Adrian",Reno
"Olson, Matt",Atlanta
"d'Arnaud, Travis",Atlanta
"Montero, Elehuris",Colorado
"Pereira, Everson",Scranton/Wilkes-Barre
"Nootbaar, Lars",St.Louis
"Martínez, Angel",Cleveland
"Dunn, Blake",Cincinnati
"Ramos, Bryan",Chicago
"Arraez, Luis",Miami
"Garrett, Stone",Washington
"Waters, Drew",Kansas City
"Maile, Luke",Cincinnati
"Alfaro, Jorge",Free
"Vargas, Ildemaro",Washington
"Sosa, Lenyn",Chicago
"Stefanic, Michael",Los Angeles
"Olivares, Edward",Kansas City
"Alvarez Jr., Nacho",Atlanta
"Laureano, Ramón",Cleveland
"Chaparro, Andrés",New York
"León, Sandy",Free
"Naylor, Bo",Cleveland
"Cabrera, Oswaldo",New York
"Hedges, Austin",Texas
"Langford, Wyatt",Texas
"Knizner, Andrew",St.Louis
"Keirsey Jr., DaShawn",Minnesota
"Betts, Mookie",Los Angeles
"Jackson, Alex",Milwaukee
"Castro, Harold",Colorado
"Brantley Jr., Michael",Houston
"Mitchell, Garrett",Milwaukee
"Farmer, Kyle",Minnesota
"Smith, Kevin",Oakland
"Chang, Yu",Tampa Bay
"Smith-Njigba, Canaan",Pittsburgh
"Lawlar, Jordan",Arizona
"Grisham, Trent",San Diego
"Hinds, Rece",Cincinnati
"Grichuk, Randal",Los Angeles
"Ornelas, Tirso",San Diego
"Ibáñez, Andy",Detroit
"Lee, Korey",Chicago
"Marte, Starling",New York
"Flores, Wilmer",San Francisco
"Rios, Edwin",Chicago
"Wong, Kolten",Seattle
"Rendon, Anthony",Los Angeles
"Bailey, Patrick",San Francisco
"Candelario, Jeimer",Washington
"Seager, Corey",Texas
"Bliss, Ryan",Arizona
"Casali, Curt",Cincinnati
"Abrams, CJ",Washington
"Domínguez, Jasson",New York
"O'Hearn, Ryan",Baltimore
"Lester, Josh",Baltimore
"Hayes, Ke'Bryan",Pittsburgh
"Cronenworth, Jake",San Diego
"Taylor, Chris",Los Angeles
"Yastrzemski, Mike",San Francisco
"Smith, Pavin",Arizona
"Stowers, Kyle",Baltimore
"Hensley, David",Houston
"Madris, Bligh",Detroit
"Contreras, Willson",St.Louis
"Short, Zack",Detroit
"Hiura, Keston",Milwaukee
"Mastrobuoni, Miles",Chicago
"Pereda, Jhonny",Free
"Bichette, Bo",Toronto
"Nimmo, Brandon",New York
"Schoop, Jonathan",Free
"Thomas, Lane",Washington
"Ortiz, Joey",Milwaukee
"Young, Jacob",Washington
"Clase, Jonatan",Seattle
"Kiermaier, Kevin",Toronto
"Leblanc, Charles",Free
"Rodgers, Brendan",Colorado
"Manzardo, Kyle",Tampa Bay
"Malloy, Justyn-Henry",Detroit
"Alonso, Pete",New York
"Kieboom, Carter",Washington
"Hosmer, Eric",Free
"Sosa, Edmundo",Philadelphia
"Peguero, Liover",Pittsburgh
"De Los Santos, Luis",Toronto
"Dixon, Brandon",Free
"Burleson, Alec",St.Louis
"Madrigal, Nick",Chicago
"Thompson, Bubba",Kansas City
"Kelenic, Jarred",Atlanta
"Barrero, Jose",Cincinnati
"Luplow, Jordan",Minnesota
"Singleton, Jon",Milwaukee
"Slater, Austin",San Francisco
"Outman, James",Los Angeles
"Lux, Gavin",Los Angeles
"Ramírez, José",Cleveland
"Steer, Spencer",Cincinnati
"Noda, Ryan",Oakland
"Grandal, Yasmani",Pittsburgh
"Rodríguez, Johnathan",Cleveland
"France, Ty",Seattle
"Baty, Brett",New York
"Rivas, Leo",Los Angeles
"Marte, Noelvi",Cincinnati
"Goodman, Hunter",Colorado
"Wilson Jr., Jacob",Oakland
"Edman, Tommy",St.Louis
"Eaton, Nate",Kansas City
"Hilliard, Sam",Colorado
"Vierling, Matt",Detroit
"Bruján, Vidal",Miami
"Vogelbach, Daniel",Free
"Dezenzo, Zach",Houston
"Toro, Abraham",Oakland
"Wisdom, Patrick",Chicago
"Wilson, Will",San Francisco
"Bohm, Alec",Philadelphia
"Chisholm Jr., Jazz",Miami
"Alvarez, Eddy",Milwaukee
"Wiemer Jr., Joey",Milwaukee
"Johnson, Bryce",San Francisco
"Jankowski, Travis",Texas
"Montes, Coco",Colorado
"Hoskins, Rhys",Milwaukee
"Williamson, Ben",Seattle
"O'Neill, Tyler",Boston
"Urshela, Gio",Detroit
"Harris, Dustin",Texas
"Ruiz, Keibert",Washington
"Smith, Josh",Texas
"Vivas, Jorbit",Los Angeles
"Wade Jr., LaMonte",San Francisco
"Happ, Ian",Chicago
"Fletcher, David",Los Angeles
"Soto, Juan",New York
"Rave, John",Kansas City
"Wallach, Chad",Los Angeles
"Shenton, Austin",Tampa Bay
"Walsh, Jared",Los Angeles
"Edwards, Xavier",Miami
"Suárez, Eugenio",Arizona
"Rice, Ben",New York
"Durbin, Caleb",New York
"Nola, Austin",San Diego
"Grossman, Robbie",Texas
"Soto, Livan",Baltimore
"Díaz, Aledmys",Leones
"Burger, Jake",Texas
"Harris, Brett",Oakland
"Chavis, Michael",Free
"Mauricio, Ronny",New York
"Mancini III, Trey",Arizona
"Newman, Kevin",Los Angeles
"Brooks, Trenton",Free
"Rocchio, Brayan",Cleveland
"Odor, Rougned",Free
"Mervis, Matt",Chicago
"Tena, José",Cleveland
"Valdez, Enmanuel",Boston
"Salazar, César",Houston
"Ortega, Rafael",Free
"Robert Jr., Luis",Chicago
"Anderson, Tim",Miami
"Mathias, Mark",Free
"Yoshida, Masataka",Boston
"O'Hoppe, Logan",Los Angeles
"Adrianza, Ehire",Free
"Semien, Marcus",Texas
"Remillard, Zach",Chicago
"Narváez, Omar",New York
"Springer III, George",Toronto
"Murphy, Tom",Seattle
"Lopez, Otto",Toronto
"Kemp, Tony",Oakland
"McKinstry, Zach",Detroit
"Basabe, Osleivis",Tampa Bay
"Kim, Ha-Seong",San Diego
"Ahmed, Nick",Arizona
"Vavra, Terrin",Baltimore
"Jones, Nolan",Colorado
"Harrison, Josh",Free
"Aguilar, Jesús",Free
"Lugo, Matthew",Boston
"Brown, Seth",Oakland
"Bleday, JJ",Oakland
"Lowe, Brandon",Tampa Bay
"Donovan, Brendan",St.Louis
"Hays, Austin",Baltimore
"Rivas III, Alfonso",San Diego
"Schneemann, Daniel",Cleveland
"Dunn, Oliver",Milwaukee
"Wells, Austin",New York
"Gamel, Ben",Free
"Ramos, Henry",Cincinnati
"Westbrook, Jamie",Detroit
"Chourio, Jackson",Milwaukee
"Contreras, William",Milwaukee
"Sullivan, Brett",San Diego
"Martinez, J.D.",New York
"Wendle, Joey",Miami
"Alcantara, Kevin",Chicago
"Mayer, Marcelo",Boston
"Julien, Edouard",Minnesota
"Foscue, Justin",Texas
"Siani, Michael",Cincinnati
"Meneses, Joey",Washington
"Guerrero Jr., Vladimir",Toronto
"Garlick, Kyle",Free
"Zavala, Seby",Arizona
"Sheets, Gavin",Chicago
"Nuñez, Nasim",Miami
"Walker, Christian",Arizona
"Barrosa, Jorge",Arizona
"India, Jonathan",Cincinnati
"Jordan, Levi",Chicago
"Pillar, Kevin",Chicago
"Stubbs, Garrett",Philadelphia
"Delay, Jason",Pittsburgh
"Espinal, Santiago",Toronto
"Marchán, Rafael",Philadelphia
"Yelich, Christian",Milwaukee
"Moustakas, Mike",Free
"Young, Jared",Chicago
"Baldwin, Drake",Atlanta
"Cron, C.J.",Free
"Taylor, Michael A.",Minnesota
"Bouchard, Sean",Colorado
"Dahl, David",Los Angeles
"Pozo, Yohel",Free
"Goodrum, Niko",Free
"Campusano, Luis",San Diego
"Segura, Jean",Free
"Amador, Adael",Colorado
"Taylor, Tyrone",Milwaukee
"Koss, Christian",Boston
"Simon, Ronny",Tampa Bay
"Votto, Joey",Free
"Shaw, Matt",Chicago
"Feduccia, Hunter",Los Angeles
"Sánchez, Gary",Milwaukee
"Black, Tyler",Milwaukee
"Querecuto, Juniel",St.Louis
"Urías, Ramón",Baltimore
